"issn","journal_name","pub_name",is_hybrid,"category","url"
"0000-0000","International Journal of Modern Sciences and Engineering Technology","nan",0,NULL,""
"0000-0002","International Journal of Research GRANTHAALAYAH","nan",0,NULL,""
"0000-0003","International Journal of Advanced Engineering Research and Science","nan",0,NULL,""
"0001-527X","Acta Biochimica Polonica","ACTA BIOCHIMICA POLONICA",0,"MOLECULAR AND CELL BIOLOGY",""
"0002-0397","Africa Spectrum","",0,NULL,""
"0003-0090","Bulletin of the American Museum of Natural History","AMER MUSEUM NATURAL HISTORY",0,"ECOLOGY AND EVOLUTION",""
"0003-5521","L'anthropologie","Elsevier",1,"Anthropology",NULL
"0004-1254","Arhiv Za Higijenu Rada I Toksikologiju-Archives of Industrial Hygiene and Toxicology","",0,NULL,""
"0004-282X","Arquivos De Neuro-Psiquiatria","",0,NULL,""
"0005-1098","Automatica","Elsevier",0,"ROBOTICS",""
"0007-215X","Brodogradnja","",0,NULL,""
"0008-0845","California Agriculture","",0,NULL,""
"0008-6223","Carbon","Elsevier",1,"Physics and Chemistry",NULL
"0010-0277","Cognition","Elsevier",0,"PSYCHOLOGY",""
"0010-0870","College & Research Libraries","",0,NULL,""
"0010-7824","Contraception","Elsevier",1,"Medicine",NULL
"0010-9452","Cortex","Elsevier",1,"Neuroscience",NULL
"0011-1643","Croatica Chemica Acta","",0,NULL,""
"0011-2240","Cryobiology","Elsevier",1,"Veterinary",NULL
"0011-2275","Cryogenics","Elsevier",1,"Physics and Chemistry",NULL
"0011-5029","Disease-A-Month","Elsevier",1,"Medicine",NULL
"0011-9164","Desalination","Elsevier",1,NULL,NULL
"0012-3692","Chest","Elsevier",1,"Medicine",NULL
"0013-9998","Erde","",0,NULL,""
"0015-1920","Finance a Uver-Czech Journal of Economics and Finance","Faculty Social Sciences Charles Univ",0,"Economics",NULL
"0015-4040","Florida Entomologist","",0,NULL,""
"0015-4725","Fluoride","",0,NULL,""
"0015-704X","Fordham Law Review","Fordham Univ School Law",0,"Law",NULL
"0016-2361","Fuel","Elsevier",1,NULL,NULL
"0016-3287","Futures","Elsevier",1,NULL,NULL
"0016-5085","Gastroenterology","Elsevier",1,"Gastroenterology",NULL
"0016-6995","Geobios","Elsevier",1,NULL,NULL
"0016-7061","Geoderma","Elsevier",1,"Plant Biology",NULL
"0016-7169","Geofisica Internacional","Self Owned - Non-Profit Society",0,"","nan"
"0016-7185","Geoforum","Elsevier",1,NULL,NULL
"0016-8076","George Washington Law Review","George Washington Univ",0,"Law",NULL
"0016-8092","Georgetown Law Journal","Georgetown Law Journal Assn",0,"Law",NULL
"0017-0011","Ginekologia Polska","Self Owned - Non-Profit Society",0,"","https://journals.viamedica.pl/ginekologia_polska/about/submissions#authorGuidelines"
"0017-3495","Grasas Y Aceites","",0,NULL,""
"0017-808X","Harvard Journal on Legislation","Harvard Law School",0,"Law",NULL
"0017-8322","Hastings Law Journal","Univ Calif",0,"Law",NULL
"0018-0661","Hereditas","",0,NULL,""
"0018-2079","Hiroshima Mathematical Journal","Self Owned - Non-Profit Society",0,"","http://www.math.sci.hiroshima-u.ac.jp/hmj/submission.html"
"0019-1035","Icarus","Elsevier",1,NULL,NULL
"0019-509X","Indian Journal of Cancer","",0,NULL,""
"0019-5138","Indian Journal of Communicable Diseases","Advanced Research Publications",0,NULL,""
"0019-5154","Indian Journal of Dermatology","",0,NULL,""
"0019-5308","Indian Journal of Labour Economics","Springer",1,NULL,NULL
"0019-5413","Indian Journal of Orthopaedics","Medknow Publications",0,"",""
"0020-0883","Informes De La Construccion","",0,NULL,""
"0020-1383","Injury","Elsevier",1,"Orthopedics",NULL
"0021-2571","Annali Dell Istituto Superiore Di Sanita","",0,NULL,""
"0021-7557","Jornal De Pediatria","",0,NULL,""
"0021-9150","Atherosclerosis","Elsevier",0,"MEDICINE",""
"0022-1333","Journal of Genetics","Springer",0,"Molecular and Cell Biology",""
"0022-1430","Journal of Glaciology","",0,NULL,""
"0022-3859","Journal of Postgraduate Medicine","Self Owned - Non-Profit Society",0,"Medicine",""
"0023-5954","Kybernetika","Self Owned - Non-Profit Society",0,"Robotics",""
"0023-7213","Laeknabladid","",0,NULL,""
"0023-8082","Landtechnik","Kuratorium für Technik und Bauwesen in der Landwirtschaft e. V.",0,"Agriculture","http://www.landtechnik-online.eu"
"0023-9356","Buffalo Law Review","UNIV BUFFALO STATE UNIV NEW YORK",0,"LAW",""
"0024-1032","Leprosy Review","Lepra",0,NULL,NULL
"0024-3841","Lingua","Elsevier",1,"Linguistics",NULL
"0024-4937","Lithos","Elsevier",1,NULL,NULL
"0025-6153","Maydica","",0,NULL,""
"0025-7273","Medical History","University College London",0,"History and Philosophy of Science",NULL
"0025-7680","Medicina-Buenos Aires","",0,NULL,""
"0025-7974","Medicine","",0,NULL,""
"0026-0495","Metabolism","Elsevier",1,"Medicine",NULL
"0026-1165","Journal of the Meteorological Society of Japan","Meteorological Soc Jpn",0,NULL,""
"0026-704X","Mljekarstvo","",0,NULL,""
"0028-2715","Journal of Nepal Medical Association","",0,NULL,""
"0028-3770","Neurochirurgie","Elsevier",1,"Neuroscience",NULL
"0028-3886","Neurology India","Self Owned - Non-Profit Society",0,"Neuroscience",""
"0028-3908","Neuropharmacology","Elsevier",1,"Neuroscience",NULL
"0028-3932","Neuropsychologia","Elsevier",1,"Neuroscience",NULL
"0029-3571","Northwestern University Law Review","Self Owned - Non-Profit Society",0,"Law",NULL
"0029-5922","Nukleonika","",0,NULL,""
"0030-2465","Onderstepoort Journal of Veterinary Research","",0,NULL,""
"0030-4387","Orbis","Elsevier",1,NULL,NULL
"0030-6126","Osaka Journal of Mathematics","Osaka University",0,"Mathematics",NULL
"0031-3025","Pathology","Elsevier",1,"Oncology",NULL
"0031-9406","Physiotherapy","Elsevier",1,"Sports Medicine",NULL
"0031-9422","Phytochemistry","Elsevier",1,"Food Science",NULL
"0031-9465","Phytopathologia Mediterranea","",0,NULL,""
"0032-3772","Polskie Archiwum Medycyny Wewnetrznej-Polish Archives of Internal Medicine","",0,NULL,""
"0032-3861","Polymer","Elsevier",1,"Physics and Chemistry",NULL
"0032-5449","Postepy Higieny I Medycyny Doswiadczalnej","",0,NULL,""
"0033-2674","Psychiatria Polska","",0,NULL,""
"0033-2879","Psychologica Belgica","Belgian Psychol Soc",0,"Psychology",""
"0033-3182","Psychosomatics","Elsevier",1,"Psychiatry",NULL
"0033-8338","Radiologia","Elsevier",1,NULL,NULL
"0034-7094","Revista Brasileira De Anestesiologia","",0,NULL,""
"0034-7329","Revista Brasileira De Politica Internacional","",0,NULL,""
"0034-7590","RAE-Revista De Administracao De Empresas","",0,NULL,""
"0034-7744","Revista De Biologia Tropical","Vicerractoría Investigación",0,"Science",""
"0034-8570","Revista De Metalurgia","",0,NULL,""
"0034-8910","Revista De Saude Publica","",0,NULL,""
"0034-9712","Revista Internacional De Sociologia","",0,NULL,""
"0035-1121","Revue De Geographie Alpine-Journal of Alpine Research","",0,NULL,""
"0035-6883","Rivista Italiana Di Paleontologia E Stratigrafia","",0,NULL,""
"0036-3634","Salud Publica De Mexico","",0,NULL,""
"0036-4665","Revista Do Instituto De Medicina Tropical De Sao Paulo","",0,NULL,""
"0037-5330","Silva Fennica","Finnish Society Forest Sciencefinnish Forest Research",0,"Ecology and Evolution",NULL
"0037-5675","Singapore Medical Journal","SINGAPORE MEDICAL ASSOC",0,"","nan"
"0037-6575","Singapore Medical Journal","Singapore Medical Association",0,NULL,NULL
"0037-8682","Revista Da Sociedade Brasileira De Medicina Tropical","",0,NULL,""
"0038-0814","Soins","Elsevier",1,NULL,NULL
"0038-2353","South African Journal of Science","",0,NULL,""
"0038-3910","Southern California Law Review","Univ Southern Calif",0,"Law",NULL
"0039-128X","Steroids","Elsevier",1,"Molecular and Cell Biology",NULL
"0039-6060","Surgery","Elsevier",1,"Gastroenterology",NULL
"0039-9140","Talanta","Elsevier",1,NULL,NULL
"0040-1951","Tectonophysics","Elsevier",1,NULL,NULL
"0040-4020","Tetrahedron","Elsevier",1,"Physics and Chemistry",NULL
"0041-0101","Toxicon","Elsevier",1,"Molecular and Cell Biology",NULL
"0041-3011","Trimestre Economico","",0,NULL,""
"0041-624X","Ultrasonics","Elsevier",1,"Radiology",NULL
"0042-207X","Vacuum","Elsevier",1,"Physics and Chemistry",NULL
"0042-6822","Virology","Elsevier",1,"Molecular and Cell Biology",NULL
"0042-790X","Journal of Hydrology and Hydromechanics","",0,NULL,""
"0042-8450","Vojnosanitetski Pregled","",0,NULL,""
"0042-9686","Bulletin of the World Health Organization","WORLD HEALTH ORGANIZATION",0,"MEDICINE",""
"0043-0617","Washington Law Review","Univ Washington School of Law",0,"Law",NULL
"0043-1648","Wear","Elsevier",1,"Physics and Chemistry",NULL
"0043-650X","Wisconsin Law Review","University of Wisconsin ",0,"Law",NULL
"0044-5967","Acta Amazonica","",0,NULL,""
"0044-605X","Acta Veterinaria Scandinavica","",0,NULL,""
"0044-8486","Aquaculture","Elsevier",0,"ECOLOGY AND EVOLUTION",""
"0045-6535","Chemosphere","Elsevier",0,"nan",""
"0046-1121","Ecology Law Quarterly","Univ Calif Press",0,"LAW",""
"0046-9580","Inquiry-The Journal of Health Care Organization Provision and Financing","",0,NULL,""
"0048-0134","New Zealand Journal of Forestry Science","",0,NULL,""
"0048-5705","Psihologija","",0,NULL,""
"0053-0015","International Journal of Recent Surgical and Medical Sciences","nan",0,NULL,""
"0053-0016","International Journal of Recent Surgical and Medical Sciences","nan",0,NULL,""
"0053-0017","International Journal of Recent Surgical and Medical Sciences","nan",0,NULL,""
"0053-0018","International Journal of Recent Surgical and Medical Sciences","nan",0,NULL,""
"0053-0019","International Journal of Recent Surgical and Medical Sciences","nan",0,NULL,""
"0053-0020","International Journal of Recent Surgical and Medical Sciences","nan",0,NULL,""
"0053-0021","International Journal of Recent Surgical and Medical Sciences","nan",0,NULL,""
"0053-0022","International Journal of Recent Surgical and Medical Sciences","nan",0,NULL,""
"0053-0023","International Journal of Recent Surgical and Medical Sciences","nan",0,NULL,""
"0053-0024","International Journal of Recent Surgical and Medical Sciences","nan",0,NULL,""
"0053-0025","International Journal of Recent Surgical and Medical Sciences","nan",0,NULL,""
"0053-0026","International Journal of Recent Surgical and Medical Sciences","nan",0,NULL,""
"0065-1400","Acta Neurobiologiae Experimentalis","Self Owned - Non-Profit Society",0,"NEUROSCIENCE",""
"0065-1583","Acta Protozoologica","",0,NULL,""
"0066-782X","Arquivos Brasileiros De Cardiologia","",0,NULL,""
"0067-3064","Baltica","INST GEOLOGY & GEOGRAPHY",0,"nan",""
"0073-4705","Iheringia Serie Botanica","",0,NULL,""
"0073-4721","Iheringia Serie Zoologia","",0,NULL,""
"0074-0276","Memorias Do Instituto Oswaldo Cruz","",0,NULL,""
"0075-6458","Koedoe","",0,NULL,""
"0075-9511","Limnologica","Elsevier",1,"Ecology and Evolution",NULL
"0078-3234","Oceanologia","Polish Academy of Sciences",0,NULL,""
"0080-6234","Revista Da Escola De Enfermagem Da USP","",0,NULL,""
"0082-5638","Trabajos De Prehistoria","",0,NULL,""
"0085-5626","Revista Brasileira De Entomologia","",0,NULL,""
"0090-0656","Fishery Bulletin","Self Owned - Non-Profit Society",0,"Ecology and Evolution",NULL
"0090-4295","Urology","Elsevier",1,"Urology",NULL
"0091-6765","Environmental Health Perspectives","Us Dept Health Human Sciences Public Health Science",0,"Environmental Health",""
"0091-8192","International Journal of Medical Research Professionals","nan",0,NULL,""
"0092-8674","Cell","Elsevier",0,"MOLECULAR AND CELL BIOLOGY",""
"0093-691X","Theriogenology","Elsevier",1,"Veterinary",NULL
"0100-0683","Revista Brasileira De Ciencia Do Solo","",0,NULL,""
"0100-204X","Pesquisa Agropecuaria Brasileira","",0,NULL,""
"0100-2945","Revista Brasileira De Fruticultura","",0,NULL,""
"0100-316X","Revista Caatinga","",0,NULL,""
"0100-4042","Quimica Nova","",0,NULL,""
"0100-6762","Revista Arvore","",0,NULL,""
"0100-6916","Engenharia Agricola","",0,NULL,""
"0100-736X","Pesquisa Veterinaria Brasileira","",0,NULL,""
"0100-8358","Planta Daninha","",0,NULL,""
"0100-8455","Genetics and Molecular Biology","Soc Brasil Genetica",0,NULL,NULL
"0100-879X","Brazilian Journal of Medical and Biological Research","",0,NULL,""
"0101-2061","Food Science and Technology","",0,NULL,""
"0101-6083","Archives of Clinical Psychiatry","",0,NULL,""
"0102-0536","Horticultura Brasileira","",0,NULL,""
"0102-0935","Arquivo Brasileiro De Medicina Veterinaria E Zootecnia","",0,NULL,""
"0102-311X","Cadernos De Saude Publica","",0,NULL,""
"0102-3306","Acta Botanica Brasilica","",0,NULL,""
"0102-7638","Revista Brasileira De Cirurgia Cardiovascular","",0,NULL,""
"0102-8650","Acta Cirurgica Brasileira","",0,NULL,""
"0103-2070","Tempo Social","",0,NULL,""
"0103-2100","Acta Paulista De Enfermagem","",0,NULL,""
"0103-3786","Transinformacao","",0,NULL,""
"0103-5053","Journal of the Brazilian Chemical Society","",0,NULL,""
"0103-8478","Ciencia Rural","",0,NULL,""
"0103-9733","Brazilian Journal of Physics","SPRINGER",0,"PHYSICS AND CHEMISTRY",""
"0103-9954","Ciencia Florestal","",0,NULL,""
"0104-1290","Saude E Sociedade","",0,NULL,""
"0104-1428","Polimeros-Ciencia E Tecnologia","",0,NULL,""
