Domain_English,Field_English,SubField_English,1.01 SEQ,Source_title,issn,essn,smsid,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Acta Agriculturae Scandinavica B - Plant Soil Sciences,0906-4710,1651-1913,108077,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Acta Scientiarum - Agronomy,1679-9275,,142879,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Advances in Agronomy,0065-2113,,104315,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Agricultura Tecnica,0365-2807,0717-6333,121716,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Agricultural and Food Science,1459-6067,,110206,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Agricultural and Food Science in Finland,1239-0992,1457-3806,106431,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Agricultural Systems,0308-521X,1873-2267,115076,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Agricultural Water Management,0378-3774,,119572,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,"Agriculture, Ecosystems & Environment",0167-8809,,101920,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Agrochimica,0002-1857,,113877,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Agronomie,0249-5627,1297-9643,117025,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Agronomy for Sustainable Development,1774-0746,1773-0155,100218,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Agronomy journal,0002-1962,1435-0645,119387,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,"AMA, Agricultural Mechanization in Asia, Africa and Latin America",0084-5841,,109435,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,American Journal of Agricultural and Biological Science,1557-4989,,118699,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,American Journal of Alternative Agriculture,0889-1893,1478-5498,100164,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Annals of arid zone,0570-1791,,120041,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Annals of biology,0970-0153,,112883,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Applied engineering in agriculture,0883-8542,,101896,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Applied Soil Ecology,0929-1393,,105094,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Archives of Agronomy and Soil Science,0365-0340,1476-3567,116349,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Arid Land Research and Management,1532-4982,1532-4990,106900,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Arid Soil Research and Rehabilitation,0890-3069,,110098,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Australian Journal of Agricultural Research,0004-9409,1444-9838,101820,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Australian Journal of Experimental Agriculture,0816-1089,1446-5574,105004,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Australian Journal of Soil Research,0004-9573,1446-568X,111544,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Berichte uber Landwirtschaft,0005-9080,,107009,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,BioCycle,0276-5055,,113411,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Biogeochemistry,0168-2563,1573-515X,102990,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Biological Agriculture and Horticulture,0144-8765,,110883,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Biology and Fertility of Soils,0178-2762,1432-0789,106229,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Biosystems Engineering,1537-5110,1537-5129,107705,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Bodenkultur,0006-5471,,102775,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Bragantia,0006-8705,,111499,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,California Agriculture,0008-0845,,133654,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Canadian Agricultural Engineering,0045-432X,,110289,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Canadian Biosystems Engineering / Le Genie des biosystems au Canada,1492-9058,,101694,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Canadian journal of plant science. Revue canadienne de phytotechnie,0008-4220,,105465,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Canadian Journal of Soil Science,0008-4271,,109811,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Ciencia del Suelo,0326-3169,,116674,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Ciencia e Agrotecnologia,1413-7054,,131550,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Ciencia Rural,0103-8478,,128163,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Communications in Soil Science & Plant Analysis,0010-3624,1532-2416,119940,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Compost science & utilization,1065-657X,,105693,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Computers and Electronics in Agriculture,0168-1699,,111666,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Discovery and innovation,1015-079X,,126004,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Engenharia Agricola,0100-6916,,114760,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Eurasian Soil Science,1064-2293,1556-195X,119221,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,European Journal of Agronomy,1161-0301,,116632,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,European Journal of Soil Biology,1164-5563,,111802,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,European Journal of Soil Science,1351-0754,1365-2389,118167,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Experimental Agriculture,0014-4797,1469-4441,112233,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Field Crops Research,0378-4290,,112149,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Geoderma,0016-7061,,105110,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Grass & Forage Science,0142-5242,1365-2494,111247,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Horticultura Brasileira,0102-0536,1806-9991,120115,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Indian Journal of Agricultural Sciences,0019-5022,,110470,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Indian Journal of Agronomy,0537-197X,,111006,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,International Agricultural Engineering Journal,0858-2114,,102224,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,International Agrophysics,0236-8722,,106283,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,International Journal of Agricultural Research,1816-4897,,131263,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Irrigation and Drainage,1531-0353,1531-0361,103641,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Irrigation and Drainage Systems,0168-6291,1573-0654,106775,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Irrigation Science,0342-7188,1432-1319,114957,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Journal of Agricultural Engineering Research,0021-8634,,103705,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,"Journal of Agriculture and Rural Development in the Tropics and Subtropics, Supplement",1613-8422,,100535,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Journal of Agriculture of the University of Puerto Rico,0041-994X,,114192,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Journal of Agronomy,1812-5379,1812-5417,106113,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Journal of Agronomy and Crop Science,0931-2250,1439-037X,115000,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Journal of Central European Agriculture,1332-9049,,131022,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Journal of cotton science,1523-6919,1524-3303,115454,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Journal of Crop Production,1092-678X,1540-4110,112817,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Journal of Ecology and Rural Environment,1673-4831,,124731,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Journal of environmental quality,0047-2425,,112622,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,"Journal of Food, Agriculture and Environment",1459-0255,,108222,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Journal of Plant Nutrition,0190-4167,1532-4087,106171,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Journal of Plant Nutrition and Soil Science,1436-8730,1522-2624,110546,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Journal of Production Agriculture,0890-8524,,119502,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Journal of Soils and Water Conservation,0022-4561,,109714,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Journal of Sustainable Agriculture,1044-0046,1540-7578,103070,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Journal of Terramechanics,0022-4898,,107124,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,"Journal of the Faculty of Agriculture, Kyushu University",0023-6152,,118997,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Land Degradation and Development,1085-3278,1099-145X,119378,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Landbauforschung Volkenrode,0458-6859,,111500,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Landnutzung und Landentwicklung,1439-0566,,101082,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Listy Cukrovarnicke a Reparske,1210-3306,,110515,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,New Zealand Journal of Agricultural Research,0028-8233,,113796,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Nihon Sakumotsu Gakkai kiji,0011-1848,,107704,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,NJAS -Wageningen Journal of Life Sciences,1573-5214,,105366,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Nongye Gongcheng Xuebao/Transactions of the Chinese Society of Agricultural Engineering,1002-6819,,103784,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Novenytermeles,0546-8191,,118169,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Nutrient Cycling in Agroecosystems,1385-1314,1573-0867,105932,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Outlook on agriculture,0030-7270,,113119,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Paddy and Water Environment,1611-2490,1611-2504,106454,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Pedobiologia,0031-4056,,100702,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Pedosphere,1002-0160,,105675,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Pesquisa Agropecuaria Brasileira,0100-204X,1678-3921,108090,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Pflanzenbauwissenschaften,1431-8857,,111081,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Plant and Soil,0032-079X,1573-5036,100446,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,"Plant, soil and environment / Czech Academy of Agricultural Sciences",1214-1178,,107136,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Planta Daninha,0100-8358,,122677,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Polish Journal of Soil Science,0079-2985,,114152,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Precision Agriculture,1385-2256,1573-1618,109387,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Renewable Agriculture and Food Systems,1742-1705,1742-1713,110203,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Revista brasileira de ciencia do solo,0100-0683,,109200,
Applied Sciences,"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,1,Revista Brasileira de Engenharia Agricola e Ambiental,1415-4366,,112281,
