"journal_id","journal_name","category","max_aidate","article_influence","max_apcdate","price","license"
"0001-527X","Acta Biochimica Polonica","MOLECULAR AND CELL BIOLOGY",2014-12-31,0.337018,2013-01-01,1200,NA
"0003-0090","Bulletin of the American Museum of Natural History","ECOLOGY AND EVOLUTION",2014-12-31,2.06144,2013-01-01,0,NA
"0003-5521","L'anthropologie","Anthropology",2014-12-31,0.218984,2017-05-22,3000,NA
"0005-1098","Automatica","ROBOTICS",2014-12-31,1.75128,2017-05-22,3100,NA
"0008-6223","Carbon","Physics and Chemistry",2014-12-31,1.46253,2016-08-11,3500,NA
"0010-0277","Cognition","PSYCHOLOGY",2014-12-31,1.97431,2017-05-22,2150,NA
"0010-7824","Contraception","Medicine",2014-12-31,0.919335,2016-08-11,3000,NA
"0010-9452","Cortex","Neuroscience",2014-12-31,1.62279,2016-08-11,2600,NA
"0011-2240","Cryobiology","Veterinary",2014-12-31,0.461948,2016-08-11,2200,NA
"0011-2275","Cryogenics","Physics and Chemistry",2014-12-31,0.27925,2016-08-11,2200,NA
"0011-5029","Disease-A-Month","Medicine",2014-12-31,0.259422,2016-08-11,2000,NA
"0011-9164","Desalination",NA,2014-12-31,0.795743,2016-08-11,3600,NA
"0012-3692","Chest","Medicine",2014-12-31,2.39652,2016-08-11,3000,NA
"0015-1920","Finance a Uver-Czech Journal of Economics and Finance","Economics",2014-12-31,0.129523,2013-01-01,0,NA
"0015-704X","Fordham Law Review","Law",2014-12-31,0.421405,2013-01-01,0,NA
"0016-2361","Fuel",NA,2014-12-31,0.921937,2016-08-11,3600,NA
"0016-3287","Futures",NA,2014-12-31,0.387727,2016-08-11,1100,NA
"0016-5085","Gastroenterology","Gastroenterology",2014-12-31,5.13209,2016-08-11,3000,NA
"0016-6995","Geobios",NA,2014-12-31,0.46442,2016-08-11,3000,NA
"0016-7061","Geoderma","Plant Biology",2014-12-31,0.931531,2016-08-11,3000,NA
"0016-7169","Geofisica Internacional","",2014-12-31,0.218124,2013-01-01,0,NA
"0016-7185","Geoforum",NA,2014-12-31,0.980155,2016-08-11,1800,NA
"0016-8076","George Washington Law Review","Law",2014-12-31,0.4585,2013-01-01,0,NA
"0016-8092","Georgetown Law Journal","Law",2014-12-31,1.31665,2013-01-01,0,NA
"0017-0011","Ginekologia Polska","",2014-12-31,0.0776013,2017-05-14,449,NA
"0017-808X","Harvard Journal on Legislation","Law",2014-12-31,0.303401,2013-01-01,0,NA
"0017-8322","Hastings Law Journal","Law",2014-12-31,0.400988,2013-01-01,0,NA
"0018-2079","Hiroshima Mathematical Journal","",2014-12-31,0.368371,2013-01-01,0,NA
"0019-1035","Icarus",NA,2014-12-31,1.43829,2016-08-11,2750,NA
"0019-5413","Indian Journal of Orthopaedics","",2015-12-31,0.247,2017-05-14,0,NA
"0020-1383","Injury","Orthopedics",2014-12-31,0.72781,2016-08-11,2500,NA
"0021-9150","Atherosclerosis","MEDICINE",2014-12-31,1.16665,2017-05-22,3000,NA
"0022-1333","Journal of Genetics","Molecular and Cell Biology",2015-12-31,0.278,2013-01-01,0,NA
"0022-3859","Journal of Postgraduate Medicine","Medicine",2015-12-31,0.286,2013-01-01,0,NA
"0023-5954","Kybernetika","Robotics",2015-12-31,0.273,2013-01-01,0,NA
"0023-9356","Buffalo Law Review","LAW",2014-12-31,0.197071,2013-01-01,0,NA
"0024-3841","Lingua","Linguistics",2014-12-31,0.561882,2016-08-11,1800,NA
"0024-4937","Lithos",NA,2014-12-31,1.50834,2016-08-11,3000,NA
"0025-7273","Medical History","History and Philosophy of Science",2014-12-31,0.328371,2012-01-01,0,NA
"0026-0495","Metabolism","Medicine",2014-12-31,0.830593,2016-08-11,2500,NA
"0026-1165","Journal of the Meteorological Society of Japan",NA,2015-12-31,0.945,2013-01-01,795,NA
"0028-3770","Neurochirurgie","Neuroscience",2014-12-31,0.102133,2016-08-11,3000,NA
"0028-3886","Neurology India","Neuroscience",2015-12-31,0.332,2013-01-01,0,NA
"0028-3908","Neuropharmacology","Neuroscience",2014-12-31,1.45417,2016-08-11,2600,NA
"0028-3932","Neuropsychologia","Neuroscience",2014-12-31,1.42597,2016-08-11,2150,NA
"0029-3571","Northwestern University Law Review","Law",2014-12-31,0.730282,2013-01-01,0,NA
"0030-6126","Osaka Journal of Mathematics","Mathematics",2014-12-31,0.69734,2013-01-01,0,NA
