"price","date_stamp1","category"
2175,"2016-08-11","NEUROSCIENCE"
2145,"2016-08-11","INFECTIOUS DISEASES"
2145,"2016-08-11","NEUROSCIENCE"
2450,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2145,"2016-08-11","ONCOLOGY"
2145,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2145,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2145,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2145,"2016-08-11","NEUROSCIENCE"
2300,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2450,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2785,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2145,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2145,"2016-08-11","ONCOLOGY"
2300,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2240,"2016-08-11","SPORTS MEDICINE"
2450,"2016-08-11","NEUROSCIENCE"
2145,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2145,"2016-08-11","INFECTIOUS DISEASES"
2240,"2016-08-11","INFECTIOUS DISEASES"
2145,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
1980,"2016-08-11","NEUROSCIENCE"
2145,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2145,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2580,"2016-08-11","NEUROSCIENCE"
2145,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2145,"2016-08-11","INFECTIOUS DISEASES"
2145,"2016-08-11","ENVIRONMENTAL HEALTH"
2450,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2145,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2145,"2016-08-11","INFECTIOUS DISEASES"
2145,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2145,"2016-08-11","PHYSICS AND CHEMISTRY"
2145,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2145,"2016-08-11","DENTISTRY"
2145,"2016-08-11","MEDICINE"
2145,"2016-08-11","SPORTS MEDICINE"
2220,"2016-08-11","ENVIRONMENTAL HEALTH"
2145,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2145,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2145,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2145,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2145,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2785,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2145,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2145,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2145,"2016-08-11","ECOLOGY AND EVOLUTION"
2145,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2145,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2145,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2145,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2145,"2016-08-11","PLANT BIOLOGY"
2145,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2145,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2450,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2300,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2450,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2450,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2365,"2016-08-11","ECOLOGY AND EVOLUTION"
2975,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
2145,"2016-08-11","MEDICINE"
2240,"2016-08-11","PLANT BIOLOGY"
2145,"2016-08-11","MOLECULAR AND CELL BIOLOGY"
