journal_name,pub_name,journal_id,price,price_date_stamp,category
Acta Neuropathologica Communications,BioMed Central,2051-5960,1400,2016-08-11,NA
Alzheimers Research & Therapy,BioMed Central Ltd,1758-9193,2175,2016-08-11,NEUROSCIENCE
Annals of Clinical Microbiology and Antimicrobials,BioMed Central Ltd,1476-0711,2145,2016-08-11,INFECTIOUS DISEASES
Antimicrobial Resistance & Infection Control,BioMed Central,2047-2994,2145,2016-08-11,NA
Behavioral and Brain Functions,Biomed Central,1744-9081,2145,2016-08-11,NEUROSCIENCE
BIOLOGICAL PROCEDURES ONLINE,Biomed Central,1480-9222,2450,2016-08-11,MOLECULAR AND CELL BIOLOGY
Biology of Sex Differences,BioMed Central Ltd,2042-6410,2450,2016-08-11,NA
Biomarker Research,BioMed Central,2050-7771,2255,2016-08-11,NA
BMC CANCER,Biomed Central,1471-2407,2145,2016-08-11,ONCOLOGY
BMC IMMUNOLOGY,Biomed Central,1471-2172,2145,2016-08-11,MOLECULAR AND CELL BIOLOGY
BMC Medical Genetics,Biomed Central,1471-2350,2145,2016-08-11,MOLECULAR AND CELL BIOLOGY
BMC Medical Genomics,Biomed Central,1755-8794,2145,2016-08-11,MOLECULAR AND CELL BIOLOGY
BMC NEUROSCIENCE,Biomed Central,1471-2202,2145,2016-08-11,NEUROSCIENCE
BMC Pharmacology and Toxicology,BioMed Central,2050-6511,2145,2016-08-11,NA
BMC Physiology,BioMed Central Ltd,1472-6793,2145,2016-08-11,NA
BMC Research Notes,BMC-Springer,1756-0500,1290,2016-08-11,NA
Breast Cancer Research,BioMed Central,1465-542X,2910,2016-08-11,NA
Cancer & Metabolism,BioMed Central,2049-3002,2450,2016-08-11,NA
Cancer Cell International,BioMed Central Ltd,1475-2867,2300,2016-08-11,MOLECULAR AND CELL BIOLOGY
Chinese Journal of Cancer,BioMed Central,1944-446X,0,2016-08-11,NA
Clinical Epigenetics,BioMed Central Ltd,1868-7083,2450,2016-08-11,MOLECULAR AND CELL BIOLOGY
Clinical Sarcoma Research,BioMed Central Ltd,2045-3329,2145,2016-08-11,NA
EPMA Journal,BioMed Central,1878-5085,2240,2016-08-11,NA
Experimental & Translational Stroke Medicine,BioMed Central Ltd,2040-7378,2145,2016-08-11,NA
Extreme Physiology & Medicine,BioMed Central,2046-7648,2145,2016-08-11,NA
Flavour,BioMed Central,2044-7248,2450,2016-08-11,NA
Fluids and Barriers of the CNS,BioMed Central Ltd,2045-8118,2145,2016-08-11,NA
Genes & Nutrition,BioMed Central,1865-3499,2145,2016-08-11,NA
Genes and Environment,BioMed Central,1880-7062,0,2016-08-11,NA
Genome Medicine,BioMed Central Ltd,1756-994X,2785,2016-08-11,MOLECULAR AND CELL BIOLOGY
Hereditary Cancer in Clinical Practice,Biomed Central,1897-4287,2145,2016-08-11,NA
Human Genomics,BioMed Central,1479-7364,2450,2016-08-11,NA
Immunity & Ageing,BioMed Central Ltd,1742-4933,2145,2016-08-11,MOLECULAR AND CELL BIOLOGY
Infectious Agents and Cancer,BioMed Central Ltd,1750-9378,2145,2016-08-11,ONCOLOGY
JOURNAL OF BIOMEDICAL SCIENCE,KARGER,1423-0127,0,2016-08-11,NA
JOURNAL OF INFLAMMATION-LONDON,Biomed Central,1476-9255,2300,2016-08-11,MOLECULAR AND CELL BIOLOGY
Journal of Negative Results in BioMedicine,BioMed Central Ltd,1477-5751,2145,2016-08-11,NA
Journal of Neurodevelopmental Disorders,BioMed Central,1866-1955,2450,2016-08-11,NA
Journal of NeuroEngineering and Rehabilitation,Biomed Central,1743-0003,2240,2016-08-11,SPORTS MEDICINE
